Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,Agilent Technologies,137.49,-1.71,-1.23%,139.89,136.21,1553200,4/24/2024
AAL,American Airlines Gp,13.92,-0.31,-2.18%,14.33,13.82,41035000,4/24/2024
AAPL,Apple Inc,169.02,2.12,1.27%,169.3,166.21,48251801,4/24/2024
ABBV,Abbvie Inc,167.8,-1.74,-1.03%,169.11,166.74,4074700,4/24/2024
ABNB,Airbnb Inc Cl A,162.84,1.89,1.17%,166.74,161.09,3854400,4/24/2024
ABT,Abbott Laboratories,106.89,-0.7,-0.65%,107.11,105.56,5052600,4/24/2024
ACGL,Arch Capital Grp Ltd,93.19,-0.59,-0.63%,93.67,92.71,1257400,4/24/2024
ACN,Accenture Plc,313.54,-3.29,-1.04%,315.84,310.69,4133800,4/24/2024
ADBE,Adobe Systems Inc,477.12,4.22,0.89%,478.57,471.73,2338000,4/24/2024
ADI,Analog Devices,196.5,6.57,3.46%,201.68,195.03,6527500,4/24/2024
ADM,Archer Daniels Midland,61.56,-0.23,-0.37%,61.81,60.42,3708600,4/24/2024
ADP,Automatic Data Procs,246.61,-0.23,-0.09%,246.86,244.32,1455800,4/24/2024
ADSK,Autodesk Inc,215,-2.93,-1.34%,218.62,214.15,2628200,4/24/2024
AEE,Ameren Corp,74.71,0.69,0.93%,74.96,72.922,1006200,4/24/2024
AEP,American Electric Power Company,86.37,0.81,0.95%,86.59,84.31,3865200,4/24/2024
AES,The Aes Corp,17.37,0.24,1.40%,17.438,16.87,5290100,4/24/2024
AFL,Aflac Inc,84.28,0.53,0.63%,84.46,83.26,2431500,4/24/2024
AIG,American International Group,74.97,0.04,0.05%,75.14,74.37,2684600,4/24/2024
AIZ,Assurant Inc,177.05,0.74,0.42%,177.38,175.04,297100,4/24/2024
AJG,Arthur J. Gallagher & Company,236.81,-1.06,-0.45%,238,235.57,655600,4/24/2024
AKAM,Akamai Technologies,102.19,0.43,0.42%,102.6,101.71,996700,4/24/2024
ALB,Albemarle Corp,115.27,1.06,0.93%,115.73,112.18,2235200,4/24/2024
ALGN,Align Technology,313.78,1.9,0.61%,315.77,306.31,1106100,4/24/2024
ALL,Allstate Corp,172.27,-3.01,-1.72%,174.845,171.32,1772400,4/24/2024
ALLE,Allegion Plc,126.54,-0.43,-0.34%,127.64,125.085,871100,4/24/2024
AMAT,Applied Materials,196.06,2.82,1.46%,199.36,192.72,4609300,4/24/2024
AMCR,Amcor Plc,9.06,0.08,0.89%,9.06,8.92,5802300,4/24/2024
AMD,Adv Micro Devices,151.74,-0.53,-0.35%,157.66,150.63,43412500,4/24/2024
AME,Ametek Inc,178.22,-1.63,-0.91%,181.14,177.04,867300,4/24/2024
AMGN,Amgen Inc,273.01,-0.53,-0.19%,274.86,269.64,2467100,4/24/2024
AMP,Ameriprise Financial Services,412.86,5.17,1.27%,415.25,406.04,675500,4/24/2024
AMT,American Tower Corp,173.35,-0.83,-0.48%,175.44,172.355,3029300,4/24/2024
AMZN,Amazon.com Inc,176.59,-2.95,-1.64%,180.32,176.18,34185102,4/24/2024
ANET,Arista Networks Inc,254.77,3.59,1.43%,260.9,250.58,2595300,4/24/2024
ANSS,Ansys Inc,328.57,2.6,0.80%,328.92,324,219000,4/24/2024
AON,AON Plc,308.83,-3.03,-0.97%,311.03,307.71,849200,4/24/2024
AOS,Smith A.O. Corp,87,-0.92,-1.05%,88.77,86.3,1267300,4/24/2024
APA,Apa Corp,32.05,-0.01,-0.03%,32.19,31.64,4522100,4/24/2024
APD,Air Products and Chemicals,234.68,0.97,0.42%,235.08,231.75,1297300,4/24/2024
APH,Amphenol Corp,116.31,2.05,1.79%,119.39,114.49,7625900,4/24/2024
APTV,Aptiv Plc,71.4,1.15,1.64%,72.33,70.19,1860700,4/24/2024
ARE,Alexandria Real Estate Equities,119.65,0.16,0.13%,119.825,116.885,879300,4/24/2024
ATO,Atmos Energy Corp,118.66,0.99,0.84%,118.7,116.1525,728000,4/24/2024
AVB,Avalonbay Communities,191.34,2.68,1.42%,192.5,186.34,904500,4/24/2024
AVGO,Broadcom Ltd,1256.82,7.63,0.61%,1285.62,1244.96,2010700,4/24/2024
AVY,Avery Dennison Corp,212.42,1.09,0.52%,224.6,210.535,798600,4/24/2024
AWK,American Water Works,121.36,1.49,1.24%,121.66,118.15,1297900,4/24/2024
AXON,Axon Enterprise Inc,302.41,0.85,0.28%,308.11,302.29,524700,4/24/2024
AXP,American Express Company,239.12,0.16,0.07%,240.55,237.97,4429200,4/24/2024
AZO,Autozone,2988.51,27.47,0.93%,2994.2549,2944.0601,128300,4/24/2024
BA,Boeing Company,164.33,-4.85,-2.87%,177.64,162.74,20889200,4/24/2024
BAC,Bank of America Corp,38.32,-0.05,-0.13%,38.495,38,28670500,4/24/2024
BALL,Ball Corporation,65.19,-0.31,-0.47%,65.59,64.55,1901800,4/24/2024
BAX,Baxter International Inc,40.93,-0.09,-0.22%,41.06,40.54,2161900,4/24/2024
BBWI,Bath & Body Works Inc,45.6,0.47,1.04%,45.68,44.73,2181600,4/24/2024
BBY,Best Buy Company,74.43,-0.61,-0.81%,74.91,73.535,3495000,4/24/2024
BDX,Becton Dickinson and Company,233.83,-0.53,-0.23%,234.57,230.025,779800,4/24/2024
BEN,Franklin Resources,25.35,0.02,0.08%,25.47,24.98,7187000,4/24/2024
BF.B,Brown Forman Inc Cl B,49.01,-0.38,-0.77%,49.135,48.53,1641300,4/24/2024
BG,Bunge Ltd,105.79,-3.83,-3.49%,107.2926,102.42,3629800,4/24/2024
BIIB,Biogen Inc,201.99,8.81,4.56%,205.75,198.97,3265600,4/24/2024
BIO,Bio-Rad Laboratories,278.21,-7.07,-2.48%,285.27,277.36,209100,4/24/2024
BK,Bank of New York Mellon Corp,57.95,0.51,0.89%,58.01,56.9882,3226000,4/24/2024
BKNG,Booking Holdings Inc,3517.52,-16.47,-0.47%,3571.11,3505.25,155900,4/24/2024
BKR,Baker Hughes Company,32.67,-0.33,-1.00%,33.78,32.33,11446900,4/24/2024
BLDR,Builders Firstsource,186.69,-0.55,-0.29%,193.49,183.78,1184400,4/24/2024
BLK,Blackrock Inc,762.8,-3.82,-0.50%,767.6375,759.435,751200,4/24/2024
BMY,Bristol-Myers Squibb Company,48.86,-0.13,-0.27%,49.045,48.55,16057100,4/24/2024
BR,Broadridge Financial Solutions Llc,195.08,-0.83,-0.42%,195.93,193.68,255800,4/24/2024
BRK.B,Berkshire Hathaway Cl B,405.95,-2.79,-0.68%,407.62,403.88,2508400,4/24/2024
BRO,Brown & Brown,82.13,-0.8,-0.96%,82.875,81.69,1520900,4/24/2024
BSX,Boston Scientific Corp,72.91,3.92,5.68%,74.39,72.55,15276400,4/24/2024
BWA,Borgwarner Inc,33.65,0.31,0.93%,33.88,33.18,1975300,4/24/2024
BX,Blackstone Inc,123.78,-0.53,-0.43%,124.81,122.56,2021400,4/24/2024
BXP,Boston Properties,62.94,0.01,0.02%,63.09,61.8,1030300,4/24/2024
C,Citigroup Inc,62.47,-0.2,-0.32%,62.73,61.84,10122900,4/24/2024
CAG,Conagra Brands Inc,31.57,0.3,0.96%,31.71,30.85,6866600,4/24/2024
CAH,Cardinal Health,103.54,0.17,0.16%,103.95,102.43,2057300,4/24/2024
